id,title,author,publisher,publication_year,category,isbn,quantity
1655,Department of Education,United States. General Accounting Office,GAO,1989    ,Information Technology,978-1428938229,5
1656,Digital media tools,Nigel P. Chapman,Wiley,2001    ,Information Technology,978-0470512234,7
1657,Concept of programming languages,Robert W. Sebesta,Pearson,2009    ,Information Technology,978-0133943023,20
1658,Developing Web Applications,Ralph Moseley,Wiley,2007    ,Information Technology,978-0470017197,1
1659,Logic and Discrete Mathematics,Willem Conradie,Wiley,2015    ,Information Technology,978-1119065166,4
1660,Game Hacking,Nick Cano,No Starch Press,2016    ,Information Technology,978-1593276690,9
1661,Neuro-linguistic programming workbook for dummies,Romilla Ready,For Dummies,2008    ,Information Technology,978-1118106174,12
1662,Doing It Now,Edwin C. Bliss,Bantam,1983    ,Information Technology,978-0553273151,14
1663,Apache Cookbook,Ken Coar,O'Reilly Media,2003    ,Information Technology,978-0596529949,6
1664,Programming,Bjarne Stroustrup,Addison-Wesley,2008    ,Information Technology,978-0321992789,7
1665,Computer Forensics,John R. Vacca,Mercury Learning,2002    ,Information Technology,978-1936420551,11
1666,Welding,NCCER,Pearson,1999    ,Information Technology,978-0134163116,14
1667,Programming in Haskell,Graham Hutton,Cambridge Univ. Press,2007    ,Information Technology,978-1316626221,12
1668,Catalogue of artificial intelligence tools,Alan Bundy,Springer,1984    ,Information Technology,978-3540579311,8
1669,Care Bears,Sonia Sander,Scholastic,2003    ,Information Technology,978-0439563123,4
1670,Software modeling and design,Hassan Gomaa,Cambridge Univ. Press,2010    ,Information Technology,978-0521764148,17
1671,Essential English,Louis Fidge,Nelson Thornes,1996    ,Information Technology,978-0748765409,7
1672,Fifteen minutes,Karen Kingsbury,Zondervan,2013    ,Information Technology,978-0310266297,3
1673,Classical FORTRAN,Michael Kupferschmid,CRC Press,2002    ,Information Technology,978-0824708023,15
1674,Kill All Normies,Angela Nagle,Zero Books,2017    ,Information Technology,978-1785355431,16
1675,Large-scale C++ software design,John Lakos,Addison-Wesley,1996    ,Information Technology,978-0201633627,4
1676,Practical C++ Programming,Steve Oualline,O'Reilly Media,1995    ,Information Technology,978-0596004194,11
1677,Applied software architecture,Christine Hofmeister,Addison-Wesley,1999    ,Information Technology,978-0201325712,19
1678,Invitation to computer science,G. Michael Schneider,Cengage Learning,2010    ,Information Technology,978-1337561914,15
1679,Linux network administrator's guide,Olaf Kirch,O'Reilly Media,1994    ,Information Technology,978-0596007317,16
1680,Stranger Things : Worlds Turned Upside Down,Gina McIntyre,Del Rey,2018    ,Information Technology,978-1984817426,11
1681,Introduction to Programming Using Microsoft Visual Basic 2008,Jan Marrelli,McGraw-Hill,2010    ,Information Technology,978-0078294693,3
1682,PowerShell,Roger Wilson,CreateSpace,2021    ,Information Technology,978-1517551001,15
1683,"Django for Beginners, 5th Edition",William Vincent,WelcomeToCode,2024    ,Information Technology,978-1735467726,19
1684,"Data structures, algorithms, and applications in C++",Sartaj Sahni,Silicon Press,1998    ,Information Technology,978-0929306322,14
1685,Digital radiography and PACS,Christi E. Carter,Mosby/Elsevier,2007    ,Information Technology,978-0323044073,16
1686,Canadian fundamentals of nursing,Patricia A. Potter,Elsevier Canada,1997    ,Information Technology,978-1926648538,16
1687,A new approach to ear training,Leo Kraft,W. W. Norton,1999    ,Information Technology,978-0393976632,12
1688,A.B.Guide to Music Theory,Eric Taylor,ABRSM,1989    ,Information Technology,978-1854724465,13
1689,Introduction to Neural and Cognitive Modeling,Daniel S. Levine,Routledge,1991    ,Information Technology,978-0805820072,2
1690,SPSS For Dummies,Arthur Griffith,For Dummies,2007    ,Information Technology,978-0470097397,20
1691,Parallel And Concurrent Programming In Haskell,Simon Marlow,O'Reilly Media,2013    ,Information Technology,978-1449335946,7
1692,Linear programming and network flows,M. S. Bazaraa,Wiley,1977    ,Information Technology,978-0470462720,19
1693,Birth,Uwe Ahrens,Taschen,1978    ,Information Technology,978-3822813133,15
1694,Hands-on introduction to LabVIEW for scientists and engineers,John Essick,Oxford Univ. Press,2009    ,Information Technology,978-0190853068,2
1695,Fundamental statistics for the behavioral sciences,David C. Howell,Cengage Learning,1985    ,Information Technology,978-1285076911,19
1696,Mastering Oracle SQL,Sanjay Mishra,O'Reilly Media,2002    ,Information Technology,978-0596006327,19
1697,Dependency injection in .NET,Mark Seemann,Manning,2012    ,Information Technology,978-1935182504,1
1698,Visual Basic 6 how to program,Harvey M. Deitel,Prentice Hall,1999    ,Information Technology,978-0134569550,10
1699,Infographics for dummies,Justin Beegel,For Dummies,2014    ,Information Technology,978-1118792384,8
1700,Qualitative research & evaluation methods,Michael Quinn Patton,SAGE Publications,1990    ,Information Technology,978-1412972123,18
1701,OPPAGA justification review,Florida. Office of Program Policy Analysis and Government Accountability.,nan,2000    ,Information Technology,978-1111111111,17
1702,Data Structures with C++ Using STL,William H. Ford,OPPAGA,2001    ,Information Technology,978-0130858504,16
1703,Data Science at the Command Line,Jeroen Janssens,Prentice Hall,2014    ,Information Technology,978-1492031277,7
1704,Understanding UNIX/LINUX Programming,Bruce Molay,O'Reilly Media,2002    ,Information Technology,978-0130083029,2
1705,Hacking Gmail,Ben Hammersley,Pearson,2005    ,Information Technology,978-0764596117,17
1706,The Inside Story,Gary Russell,Wiley,1996    ,Information Technology,978-1840232479,16
1707,Applied Computational Thinking with Python,Sofía De Jesús,BBC Books,2020    ,Information Technology,978-1839214431,5
1708,100 science experiments,Georgina Andrews,Packt Publishing,2005    ,Information Technology,978-0794503796,14
1709,Usability engineering,Jakob Nielsen,Usborne,1993    ,Information Technology,978-0125184069,1
1710,An introduction to database systems,C. J. Date,Morgan Kaufmann,2000    ,Information Technology,978-0321197849,18
1711,Job Scheduling Strategies for Parallel Processing,Walfredo Cirne,Pearson,2013    ,Information Technology,978-3540310242,18
1712,The art of the story-teller,"Shedlock, Marie L.",Springer,1915    ,Information Technology,978-0486206356,3
1713,Data Mining for Association Rules and Sequential Patterns,Jean-Marc Adamo,Dover Publications,2000    ,Information Technology,978-1461371427,7
1714,"Python Programming: An Introduction to Computer Science, 3rd Ed.",John Zelle,Springer,2016    ,Information Technology,978-1590282410,3
1715,Making Embedded Systems,Elecia White,"Franklin, Beedle",2011    ,Information Technology,978-1449302146,4
1716,"Models, Algorithms and Technologies for Network Analysis",Mikhail V. Batsyn,O'Reilly Media,2012    ,Information Technology,978-3319062501,6
1717,Graphics programming in C,Roger T. Stevens,Springer,1989    ,Information Technology,978-1558510180,2
1718,Insects,Andrew Haslam,M&T Books,1987    ,Information Technology,978-1854344403,9
1719,Swarm Intelligence Algorithms,Adam Slowik,Two-Can,2020    ,Information Technology,978-1138384491,4
1720,Computer Vision -- ECCV 2014,David Fleet,CRC Press,2014    ,Information Technology,978-3319105895,20
1721,Schaum's outline of theory and problems of discrete mathematics,Seymour Lipschutz,Springer,1976    ,Information Technology,978-0070380318,20
1722,Information security and cryptology,Helger Lipmaa,McGraw-Hill,2006    ,Information Technology,978-3540302339,7
1723,Statistics,Michael J. Crawley,Springer,2005    ,Information Technology,978-1118322963,17
1724,Experimentation in software engineering,Claes Wohlin,Wiley,1999    ,Information Technology,978-3642290435,8
1725,Catia V5 Macro Programming With Visual Basic Script,Kyle Brand,Springer,2013    ,Information Technology,978-0071700009,10
1726,"Art of Computer Programming, Volume 3",Donald Knuth,McGraw-Hill,1998    ,Information Technology,978-0201896848,12
1727,Software design,Eric J. Braude,Addison-Wesley,2003    ,Information Technology,978-0471209249,3
1728,Programming in Python 3,Mark Summerfield,Wiley,2009    ,Information Technology,978-0321680563,16
1729,Advanced Computing in Industrial Mathematics,Krassimir Georgiev,Addison-Wesley,2017    ,Information Technology,978-3319763569,6
1730,The art of software security assessment,Mark Dowd,Springer,2006    ,Information Technology,978-0321444425,16
1731,The anomaly,Michael Rutger,Addison-Wesley,2018    ,Information Technology,978-1538761823,10
1732,Practical techniques for enhancing self-esteem,Diane Frey,Grand Central Pub,1991    ,Information Technology,978-0895886361,11
1733,Cloud Computing Security,John R. Vacca,Sybex,2016    ,Information Technology,978-1482260946,16
1734,The Kindaichi case files,Yōzaburō Kanari,CRC Press,2003    ,Information Technology,978-1591823292,12
1735,Analog and digital signal processing,Ashok Ambardar,Tokyopop,1995    ,Information Technology,978-0534954093,4
1736,The AutoCAD Book,James M. Kirkpatrick,Brooks/Cole,1992    ,Information Technology,978-0131144316,16
1737,Functional JavaScript,Michael Fogus,Pearson,2013    ,Information Technology,978-1449360726,4
1738,Technical analysis for the trading professional,Constance M. Brown,O'Reilly Media,1999    ,Information Technology,978-0071759144,4
1739,Ancient Egyptians and their neighbors,Marian Broida,McGraw-Hill,1999    ,Information Technology,978-1556523601,8
1740,Design of digital computers,Hans W. Gschwind,Chicago Review Pr,1967    ,Information Technology,978-3540074571,18
1741,SAP HANA,Berg Dr,Springer,2012    ,Information Technology,978-1493214150,19
1742,Designing object-oriented software,Rebecca Wirfs-Brock,SAP Press,1990    ,Information Technology,978-0136298250,7
1743,Head first Android development,Dawn Griffiths,Prentice Hall,2015    ,Information Technology,978-1449362188,5
1744,Mobile First,Luke Wroblewski,O'Reilly Media,2011    ,Information Technology,978-1937557027,20
1745,Batman,Scott Beatty,A Book Apart,2001    ,Information Technology,978-0756611316,5
1746,Inside OLE 2,Kraig Brockschmidt,DK Publishing,1993    ,Information Technology,978-1556156182,15
1747,Object-oriented methods,Ian Graham,Microsoft Press,1991    ,Information Technology,978-0201593717,1
1748,Better than life,Grant Naylor,Addison-Wesley,1990    ,Information Technology,978-0140134421,15
1749,ARM Assembly language,William Hohl,Penguin Books,2009    ,Information Technology,978-1482229851,4
1750,Teach like a champion,Doug Lemov,CRC Press,2010    ,Information Technology,978-1118898628,7
1751,The Practice of Computing Using Python,William F. Punch,Jossey-Bass,2012    ,Information Technology,978-0134379760,6
1752,Mastering Go,Mihalis Tsoukalos,Pearson,2018    ,Information Technology,978-1788626545,13
1753,Power Pivot and Power Bi,Rob Collie,Packt Publishing,2016    ,Information Technology,978-1615470396,14
1754,Patterns of software,Richard P. Gabriel,Holy Macro! Books,1996    ,Information Technology,978-0195121230,17
1755,Kubernetes: Up and Running: Dive into the Future of Infrastructure,Kelsey Hightower,Oxford Univ. Press,2017    ,Information Technology,978-1491935675,6
1756,Managing and using information systems,Keri E. Pearlson,O'Reilly Media,2003    ,Information Technology,978-1119244288,20
1757,Computational Science and Its Applications - ICCSA 2014,Beniamino Murgante,Wiley,2014    ,Information Technology,978-3642396366,9
1758,Succeeding with agile,Mike Cohn,Springer,2009    ,Information Technology,978-0321579362,17
1759,Recent Advances in Computer Science and Information Engineering,Zhihong Qian,Addison-Wesley,2012    ,Information Technology,978-3642289118,14
1760,An introduction to programming and object-oriented design using JAVA,Jaime Niño,Springer,2002    ,Information Technology,978-0471221777,7
1761,Television's second golden age,Robert J. Thompson,Wiley,1996    ,Information Technology,978-0826409010,11
1762,The LaTeX companion,Frank Mittelbach,Continuum,2004    ,Information Technology,978-0201362992,3
1763,BioInquiry,Nancy L. Pruitt,Addison-Wesley,2001    ,Information Technology,978-0471444107,2
1764,Machine Learning and Data Mining in Pattern Recognition,Petra Perner,Wiley,2003    ,Information Technology,978-3642221309,19
1765,Intelligent systems for engineers and scientists,Adrian A. Hopgood,Springer,2000    ,Information Technology,978-0849304569,3
1766,Turtles all the way down,John Grinder,CRC Press,1995    ,Information Technology,978-0929963006,7
1767,The Site Reliability Workbook,Niall Richard Murphy,Grinder & Assoc,2018    ,Information Technology,978-1492029502,12
1768,Learning OpenCV 3,Adrian Kaehler,O'Reilly Media,2017    ,Information Technology,978-1491937990,11
1769,Learning Robotic Process Automation: Create Software robots and automate business processes with the leading RPA tool – UiPath,Alok Mani Tripathi,O'Reilly Media,2018    ,Information Technology,978-1788470940,14
1770,Pattern recognition and image analysis,Earl Gose,Packt Publishing,1996    ,Information Technology,978-0132364157,4
1771,NLP & relationships,Robin Prior,Prentice Hall,2000    ,Information Technology,978-1845900229,13
1772,Star Trek The Next Generation - Starfleet Academy - Nova Command,Brad Strickland,Anglo American,1995    ,Information Technology,978-0671019082,4
1773,Constructing the user interface with statecharts,Ian Horrocks,Pocket Books,1999    ,Information Technology,978-0201342789,6
1774,Ruby cookbook,Lucas Carlson,Addison-Wesley,2006    ,Information Technology,978-0596523695,11
1775,Perl in a Nutshell,Ellen Siever,O'Reilly Media,1998    ,Information Technology,978-0596000271,3
1776,Statistical Analysis with Excel For Dummies,Joseph Schmuller,O'Reilly Media,2009    ,Information Technology,978-1119271154,1
1777,HTML5 games,Jacob Seidelin,For Dummies,2011    ,Information Technology,978-1119975083,14
1778,Microinteractions,Dan Saffer,Wiley,2013    ,Information Technology,978-1449341299,15
1779,Agile retrospectives,Esther Derby,O'Reilly Media,2012    ,Information Technology,978-0977616640,3
1780,Handbook of Game-Based Learning,Jan L. Plass,Pragmatic Bookshelf,2020    ,Information Technology,978-0262043519,13
1781,xUnit Test Patterns,Gerard Meszaros,MIT Press,2007    ,Information Technology,978-0131476714,9
1782,lex & yacc,Doug Brown Doug,Addison-Wesley,1990    ,Information Technology,978-1565920002,8
1783,Star Trek Federation Cassette,Judith Reeves-Stevens,O'Reilly Media,1991    ,Information Technology,978-0671850111,4
1784,An Introduction to Management Science,David Ray Anderson,Pocket Books,1982    ,Information Technology,978-1111822514,14
1785,Star Trek - Log Ten,Alan Dean Foster,Cengage Learning,1977    ,Information Technology,978-0345272188,20
1786,Changing belief systems with NLP,Robert B. Dilts,Ballantine Books,1990    ,Information Technology,978-0916990244,8
1787,Extending the Linear Model with R,Julian J. Faraway,Meta Publications,2004    ,Information Technology,978-1498731287,13
1788,React Native,Jamie Oates,Chapman and Hall/CRC,2022    ,Information Technology,978-1786460967,2
1789,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems",Olga Galinina,Packt Publishing,2014    ,Information Technology,978-3319439006,11
1790,Pandas for Everyone,Daniel Chen,Springer,2017    ,Information Technology,978-0134546933,7
1791,Everyday Life,Walter A. Hazen,Addison-Wesley,1997    ,Information Technology,978-1596470002,11
1792,Design patterns explained,Alan Shalloway,Good Year Books,2002    ,Information Technology,978-0321247148,7
1793,On LISP,Paul Graham,Addison-Wesley,1993    ,Information Technology,978-0130305527,12
1794,Electronic Government,Ida Lindgren,Prentice Hall,2012    ,Information Technology,978-3030273248,2
1795,The Difference Between God and Larry Ellison,Mike Wilson,Springer,1997    ,Information Technology,978-0688149253,10
1796,Communication Technologies for Vehicles,Marion Berbineau,William Morrow,2013    ,Information Technology,978-3642400650,19
1797,Etudes for programmers,Charles Wetherell,Springer,1978    ,Information Technology,978-0132918077,4
1798,Learn you a Haskell for great good!,Miran Lipovača,Prentice Hall,2011    ,Information Technology,978-1593272838,4
1799,"Data Structures Using C_x000D_
            _x000D_
                Oxford Higher Education",Reema Thareja,No Starch Press,2011    ,Information Technology,978-0198099307,20
1800,C and the 8051,Thomas W. Schultz,Oxford Univ. Press,1993    ,Information Technology,978-0137548392,14
1801,Have you seen the dog lately?,Serena Makofsky,Scholastic,1995    ,Information Technology,978-0439401777,3
1802,Life with hope,Marijuana Anonymous,Marijuana Anonymous,2001    ,Information Technology,978-0966050721,20
1803,The Arctic Incident,Eoin Colfer,Disney-Hyperion,2009    ,Information Technology,978-0786808540,9
1804,Statistics for managers using Microsoft Excel,David M. Levine,Pearson,1999    ,Information Technology,978-0134173030,16
1805,Neuro-fuzzy and soft computing,Jyh-Shing Roger Jang,Prentice Hall,1996    ,Information Technology,978-0132610667,2
1806,Continuemos!,Ana C. Jarvis,Cengage Learning,1979    ,Information Technology,978-1133934332,17
1807,The definitive guide to Django,Adrian Holovaty,Apress,2007    ,Information Technology,978-1590599969,13
1808,Lost in London,Cindy Callaghan,Aladdin,2013    ,Information Technology,978-1442460140,20
1809,"Politicians, Partisans, and Parasites",Tucker Carlson,Warner Books,2003    ,Information Technology,978-0446529877,14
1810,The creative curriculum for preschool,"Dodge, Diane Trister.",Teaching Strategies,2002    ,Information Technology,978-1879083561,1
1811,Go! All in One,Shelley Gaskin,Pearson,2014    ,Information Technology,978-0134178301,4
1812,Computational Science and Its Applications -- ICCSA 2015,Osvaldo Gervasi,Springer,2015    ,Information Technology,978-3540260424,18
1813,Professional Java server programming,Subrahmanyam Allamaraju,Wrox,2001    ,Information Technology,978-1861004659,17
1814,HNC/HND Business (HNC/HND Business Series),BPP,BPP Learning Media,1996    ,Information Technology,978-1472719133,5
1815,Adventures in Raspberry Pi,Carrie Anne Philbin,Wiley,2013    ,Information Technology,978-1119046028,12
1816,"Data Management, Analytics and Innovation",Valentina Emilia Balas,Springer,2018    ,Information Technology,978-9811312731,7
1817,Programming pearls,Jon Louis Bentley,Addison-Wesley,1986    ,Information Technology,978-0201657883,5
1818,Bio-inspired Computing : Theories and Applications,Cheng He,Springer,2014    ,Information Technology,978-3030005603,13
1819,Logic programming,Ewing Lusk,MIT Press,1989    ,Information Technology,978-0262620680,2
1820,Andrea Chénier,Umberto Giordano,G. Schirmer,1896    ,Information Technology,978-0634068553,15
1821,A bug hunter's diary,Tobias Klein,No Starch Press,2011    ,Information Technology,978-1593273859,5
1822,"Swarm, Evolutionary, and Memetic Computing",Bijaya Ketan Panigrahi,Springer,2010    ,Information Technology,978-3642175626,1
1823,Secure software design,Theodor Richardson,Jones & Bartlett,2012    ,Information Technology,978-1449626327,20
1824,Understanding Big Data. Analytics for Enterprise Class Hadoop and Streaming Data,Paul C Zikopoulos,McGraw-Hill,2012    ,Information Technology,978-0071790536,18
1825,Life Skills Training,Gilbert J. Botvin,Princeton Health,1996    ,Information Technology,978-0965042642,10
1826,Apple Training Series,Peachpit Press,Peachpit Press,2004    ,Information Technology,978-0321635310,14
1827,Linux command line and shell scripting bible,Richard Blum,Wiley,2008    ,Information Technology,978-1118983843,9
1828,Security without Obscurity,Jeff Stapleton,CRC Press,2016    ,Information Technology,978-1466592148,5
1829,Doctor Who: the Wheel of Ice,Stephen Baxter,BBC Books,2012    ,Information Technology,978-1849904797,20
1830,"Futures, options, and swaps",Robert W. Kolb,Blackwell,1994    ,Information Technology,978-1405150491,4
1831,Construction inspector training,United States. Bureau of Reclamation.,Bureau of Reclam.,1989    ,Information Technology,978-1111111111,13
1832,AP computer science A,Roselyn Teukolsky,Barron's,2013    ,Information Technology,978-1438004129,15
1833,Hacking Android,Srinivasa Rao Kotipalli,Packt Publishing,2016    ,Information Technology,978-1785883149,14
1834,Analysis Patterns,Martin Fowler,Addison-Wesley,1996    ,Information Technology,978-0201895421,13
1835,International Conference on Innovative Computing and Communications,Deepak Gupta,Springer,2018    ,Information Technology,978-9811326844,16
1836,SAS for dummies,Stephen McDaniel,For Dummies,2007    ,Information Technology,978-0470526941,9
1837,Get the Life You Want,Richard Bandler,Health Comm. Inc,2009    ,Information Technology,978-0757307768,20
1838,The elements of programming style,Brian W. Kernighan,McGraw-Hill,1974    ,Information Technology,978-0070342071,15
1839,Floating-point computation,Pat H. Sterbenz,Prentice Hall,1973    ,Information Technology,978-0133224955,9
1840,Computer Networks,Andrzej Kwiecien,Springer,2009    ,Information Technology,978-3642549410,5
1841,Troubleshooting your PC for Dummies,Dan Gookin,For Dummies,2002    ,Information Technology,978-0470230770,19
1842,Trek,James Van Hise,Pioneer Books,1989    ,Information Technology,978-1556982934,10
1843,Computing fundamentals,Peter Norton,McGraw-Hill,1996    ,Information Technology,978-0078214370,15
1844,Information Systems,Efrem G. Mallach,McGraw-Hill,2015    ,Information Technology,978-0072836264,4
1845,DOS internals,Geoff Chappell,Addison-Wesley,1994    ,Information Technology,978-0201608359,6
1846,Differential equations,C. H. Edwards,Pearson,1995    ,Information Technology,978-0131437388,3
1847,Concepts of Programming Languages,Robert W. Sebesta,Pearson,2002    ,Information Technology,978-0133943023,2
1848,Learn to Program Using Python,Alan Gauld,Addison-Wesley,2000    ,Information Technology,978-0201709384,7
1849,"Free Software, Free Society",Richard Stallman,GNU Press,2002    ,Information Technology,978-0983159209,7
1850,Biomedical Engineering Systems and Technologies,Ana Fred,Springer,2008    ,Information Technology,978-3642117206,1
1851,C programming for embedded systems,Kirk Zurell,R&D Books,2000    ,Information Technology,978-1929629046,2
1852,LISP,Patrick Henry Winston,Addison-Wesley,1981    ,Information Technology,978-0201083194,13
1853,Spreadsheet modeling and decision analysis,Cliff T. Ragsdale,Cengage Learning,1995    ,Information Technology,978-1285418681,3
1854,Data structures using PASCAL,Aaron M. Tenenbaum,Prentice Hall,1981    ,Information Technology,978-0131962538,5
1855,"Systems, Software and Services Process Improvement",Jakub Stolfa,Springer,2011    ,Information Technology,978-3319642178,15
1856,Contemporary High Performance Computing,Jeffrey S. Vetter,CRC Press,2013    ,Information Technology,978-1466568341,18
1857,"Unity Game Development in 24 Hours, Sams Teach Yourself",Mike Geig,Sams Publishing,2000    ,Information Technology,978-0672336965,8
1858,Software tools,Brian W. Kernighan,Addison-Wesley,1976    ,Information Technology,978-0201036695,14
1859,Distributed Sensor Networks,S. Sitharama Iyengar,CRC Press,2004    ,Information Technology,978-1439862827,10
1860,Neural Networks and Deep Learning,Charu C. Aggarwal,Springer,2018    ,Information Technology,978-3319944623,14
1861,Star Trek - Dreams of the Raven,Carmen Carter,Pocket Books,1987    ,Information Technology,978-0671650889,17
1862,Coding Freedom,E. Gabriella Coleman,Princeton Univ. Pr,2012    ,Information Technology,978-0691144610,9
1863,Building a medical vocabulary,Peggy C. Leonard,Saunders,1983    ,Information Technology,978-1455711451,14
1864,Expert C programming!,Peter Van der Linden,Prentice Hall,1994    ,Information Technology,978-0131774292,7
1865,Python programming in context,Bradley N. Miller,Jones & Bartlett,2009    ,Information Technology,978-1449699390,14
1866,"C, a reference manual",Samuel P. Harbison,Prentice Hall,1984    ,Information Technology,978-0130895929,5
1867,E-learning uncovered,Diane Elkins,CreateSpace,2010    ,Information Technology,978-1481977791,19
1868,Human Behavior Understanding,Albert Ali Salah,Springer,2011    ,Information Technology,978-3642160554,13
1869,Advances in Software Science and Technology,Nihon Sofutowea Kagakkai,Springer,1990    ,Information Technology,978-3540574590,9
1870,"Computational physics, FORTRAN version",Steven E. Koonin,Addison-Wesley,1986    ,Information Technology,978-0201126136,11
1871,RESTful Web Services,Leonard Richardson,O'Reilly Media,2007    ,Information Technology,978-0596529260,12
1872,Algorithms and Programming,Alexander Shen,Birkhäuser,1996    ,Information Technology,978-0817647605,6
1873,Android Fully Loaded,Rob Huddleston,Wiley,2010    ,Information Technology,978-1118114469,12
1874,Electronic Government and the Information Systems Perspective,Andrea Kő,Springer,2010    ,Information Technology,978-3642403576,12
1875,UNIX in a Nutshell,Arnold Robbins,O'Reilly Media,1999    ,Information Technology,978-0596100292,6
1876,A basic course in statistics,G. M. Clarke,Arnold,1978    ,Information Technology,978-0340814062,19
1877,Software architecture,Richard N. Taylor,Wiley,2010    ,Information Technology,978-0470167489,18
1878,Hidden Markov models for time series,W. Zucchini,CRC Press,2009    ,Information Technology,978-1584880523,6
1879,Head first JavaScript,Michael Morrison,O'Reilly Media,2007    ,Information Technology,978-0596527747,5
1880,Star Trek Deep Space Nine - The 34th Rule,Armin Shimerman,Pocket Books,1999    ,Information Technology,978-0671007935,20
1881,Murach's Python Programming,Michael Urban,Mike Murach & Assoc,2016    ,Information Technology,978-1890774974,11
1882,Defense infrastructure,United States. General Accounting Office,GAO,1996    ,Information Technology,978-1428941014,6
1883,Tools of the mind,Elena Bodrova,Pearson,1995    ,Information Technology,978-0130278043,16
1884,"Distributed, Ambient, and Pervasive Interactions",Norbert Streitz,Springer,2013    ,Information Technology,978-3540732815,1
1885,Instant AutoCAD,Stephen J. Ethier,Prentice Hall,2000    ,Information Technology,978-0130922892,3
1886,Java Examples in a Nutshell,David Flanagan,O'Reilly Media,1997    ,Information Technology,978-0596006204,18
1887,Star Wars - Clone Wars - Character Encyclopedia,Jason Fry,DK Publishing,2010    ,Information Technology,978-0756663087,2
1888,Federal workforce,United States. General Accounting Office,GAO,1986    ,Information Technology,978-1428941076,14
1889,Data Structures and Algorithms in Java,Michael T. Goodrich,Wiley,2014    ,Information Technology,978-1118771334,18
1890,APIs,Daniel Jacobson,O'Reilly Media,2011    ,Information Technology,978-1449308926,9
1891,SPSS for Windows step by step,Darren George,Pearson,1999    ,Information Technology,978-0205011247,9
1892,Spaceland,Rudy Rucker,Tor Books,2002    ,Information Technology,978-0765303660,18
1893,Click'd,Tamara Ireland Stone,"Little, Brown",2017    ,Information Technology,978-1484784976,1
1894,Tax policy,United States. General Accounting Office,GAO,1986    ,Information Technology,978-1428941137,11
1895,Getting Started with SQL,Thomas Nield,O'Reilly Media,2016    ,Information Technology,978-1491938614,1
1896,Friend Or Flamingo? (Full House Club: Stephanie),Wendy Haley,Scholastic,1998    ,Information Technology,978-0439540582,16
1897,Social statistics for a diverse society,Chava Frankfort-Nachmias,SAGE Publications,1997    ,Information Technology,978-1483344683,3
1898,Exploring motion graphics,Rebecca Gallagher,Cengage Learning,2006    ,Information Technology,978-1418011666,6
1899,Community development,United States. General Accounting Office,GAO,1986    ,Information Technology,978-1428941199,6
1900,SQL all-in-one for dummies,Allen G. Taylor,For Dummies,2011    ,Information Technology,978-0470929964,6
1901,Dictionary of computer terms,Douglas Downing,Barron's,1986    ,Information Technology,978-0764141607,14
1902,The Simpsons Uncensored Family Album (Simpsons),Matt Groening,HarperCollins,1991    ,Information Technology,978-0060965822,5
1903,Stop staring,Jason Osipa,Sybex,2003    ,Information Technology,978-0470602904,1
1904,3D math primer for graphics and game development,Fletcher Dunn,CRC Press,2002    ,Information Technology,978-1568817231,20
1905,Business Information Systems Workshops,Witold Abramowicz,Springer,2009    ,Information Technology,978-3642023019,17
1906,Halbleiter-Schaltungstechnik,U. Tietze,Springer,1969    ,Information Technology,978-3540428497,7
1907,Alan Turing,Dermot Turing,Pitkin,2015    ,Information Technology,978-1841657561,6
1908,Delete,Viktor Mayer-Schönberger,Princeton Univ Pr,2009    ,Information Technology,978-0691138619,14
1909,A mathematical introduction to logic,Herbert B. Enderton,Academic Press,1972    ,Information Technology,978-0122384523,18
1910,Serious Games,Tim Marsh,Springer,2015    ,Information Technology,978-3319458403,5
1911,Enhanced Discovering Computers ©2017,Misty E. Vermaat,Cengage Learning,2016    ,Information Technology,978-1285845500,7
1912,Numerical methods for scientists and engineers,Richard Hamming,Dover Publications,1962    ,Information Technology,978-0486652412,9
1913,Getting down to business,Norma Shapiro,Oxford Univ Press,1981    ,Information Technology,978-0194372336,7
1914,Star Trek The Next Generation Technical Manual,Rick Sternbach,Pocket Books,1991    ,Information Technology,978-0671704278,11
1915,Designing interfaces,Jenifer Tidwell,O'Reilly Media,2005    ,Information Technology,978-1449379704,2
1916,SQL antipatterns,Bill Karwin,Pragmatic Bookshelf,2010    ,Information Technology,978-1934356555,16
1917,Graph theory and its applications,Jonathan L. Gross,CRC Press,1999    ,Information Technology,978-1584885054,7
1918,Professional issues in software engineering,Frank Bott,CRC Press,2000    ,Information Technology,978-0748409518,9
1919,C++ for dummies,Stephen Randy Davis,For Dummies,1994    ,Information Technology,978-1118823774,18
1920,Robot building for beginners,David Cook,Apress,2002    ,Information Technology,978-1430227540,9
1921,The World of Star Trek,David Gerrold,Bluejay Books,1973    ,Information Technology,978-0312944636,9
1922,Patterns in Java,Mark Grand,Wiley,1998    ,Information Technology,978-0471258391,7
1923,Food Stamp Program,United States. General Accounting Office,GAO,1986    ,Information Technology,978-1428941250,5
1924,Cloud Computing and Security,Xingming Sun,Springer,2016    ,Information Technology,978-3030000059,11
1925,"Computergraphik, Computerkunst",Herbert W. Franke,Springer,1971    ,Information Technology,978-3540151494,8
1926,Learning Angular,Aristeidis Bampakos,Packt Publishing,2020    ,Information Technology,978-1839210037,16
1927,A discipline of programming,Edsger Wybe Dijkstra,Prentice Hall,1976    ,Information Technology,978-0132158718,12
